user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
831775,Africa Magic,2016-03-29T16:07:00.000Z,1899-12-31T00:00:35.500Z,male,34,Eastern Cape,youth,Afternoon,35
803575,Supersport Live Events,2016-02-19T09:08:00.000Z,1899-12-31T00:00:22.000Z,male,27,Eastern Cape,youth,Morning,22
803575,Supersport Live Events,2016-01-31T09:46:00.000Z,1899-12-31T00:27:16.000Z,male,27,Eastern Cape,youth,Morning,1636
803575,Supersport Live Events,2016-01-23T10:34:00.000Z,1899-12-31T00:39:16.000Z,male,27,Eastern Cape,youth,Morning,2356
939679,Boomerang,2016-03-28T15:34:00.000Z,1899-12-31T00:00:07.000Z,male,41,Western Cape,adults,Afternoon,7
939679,Boomerang,2016-03-28T16:27:00.000Z,1899-12-31T00:00:10.000Z,male,41,Western Cape,adults,Afternoon,10
939679,Cartoon Network,2016-03-24T22:49:00.000Z,1899-12-31T00:00:07.000Z,male,41,Western Cape,adults,Night,7
809015,Boomerang,2016-02-20T04:16:00.000Z,1899-12-31T00:00:01.000Z,female,31,Eastern Cape,youth,Night,1
809015,Channel O,2016-02-19T04:30:00.000Z,1899-12-31T00:38:48.000Z,female,31,Eastern Cape,youth,Night,2328
809015,Cartoon Network,2016-02-05T06:49:00.000Z,1899-12-31T00:00:15.000Z,female,31,Eastern Cape,youth,Morning,15
809015,Channel O,2016-02-19T04:30:00.000Z,1899-12-31T00:38:48.000Z,female,31,Eastern Cape,youth,Night,2328
809015,Channel O,2016-02-24T08:37:00.000Z,1899-12-31T00:02:00.000Z,female,31,Eastern Cape,youth,Morning,120
809015,Cartoon Network,2016-01-30T16:54:00.000Z,1899-12-31T00:00:08.000Z,female,31,Eastern Cape,youth,Afternoon,8
809015,Cartoon Network,2016-01-29T19:48:00.000Z,1899-12-31T00:00:28.000Z,female,31,Eastern Cape,youth,Evening,28
809015,SuperSport Blitz,2016-01-28T16:26:00.000Z,1899-12-31T00:09:28.000Z,female,31,Eastern Cape,youth,Afternoon,568
809015,Channel O,2016-02-06T11:34:00.000Z,1899-12-31T00:00:15.000Z,female,31,Eastern Cape,youth,Morning,15
809015,Cartoon Network,2016-02-23T16:55:00.000Z,1899-12-31T00:00:29.000Z,female,31,Eastern Cape,youth,Afternoon,29
939680,Supersport Live Events,2016-03-24T16:59:00.000Z,1899-12-31T00:03:10.000Z,male,19,Gauteng,youth,Afternoon,190
939680,Cartoon Network,2016-03-24T06:36:00.000Z,1899-12-31T00:01:45.000Z,male,19,Gauteng,youth,Morning,105
939680,Boomerang,2016-03-28T10:53:00.000Z,1899-12-31T00:06:21.000Z,male,19,Gauteng,youth,Morning,381
939680,Trace TV,2016-03-27T16:06:00.000Z,1899-12-31T00:10:27.000Z,male,19,Gauteng,youth,Afternoon,627
939680,Boomerang,2016-03-27T20:20:00.000Z,1899-12-31T00:01:11.000Z,male,19,Gauteng,youth,Evening,71
939680,Boomerang,2016-03-24T08:53:00.000Z,1899-12-31T00:01:49.000Z,male,19,Gauteng,youth,Morning,109
800825,Trace TV,2016-02-16T12:42:00.000Z,1899-12-31T00:00:00.000Z,male,30,Kwazulu Natal,youth,Afternoon,0
788725,Channel O,2016-02-15T17:17:00.000Z,1899-12-31T00:00:33.000Z,male,32,Free State,youth,Evening,33
788725,Africa Magic,2016-02-19T19:41:00.000Z,1899-12-31T00:00:17.500Z,male,32,Free State,youth,Evening,17
